Temperature (K),Pressure (MPa),Kinematic Viscosity (m^2/s)
260,1000000,5.97E-07
260,1200000,4.90E-07
260,1400000,4.14E-07
260,1600000,3.56E-07
260,1800000,3.10E-07
260,2000000,2.73E-07
260,2192040.2,2.44E-07
262,1000000,6.08E-07
262,1200000,4.99E-07
262,1400000,4.21E-07
262,1600000,3.63E-07
262,1800000,3.16E-07
262,2000000,2.79E-07
262,2200000,2.48E-07
262,2318371.1,2.32E-07
264,1000000,6.18E-07
264,1200000,5.08E-07
264,1400000,4.29E-07
264,1600000,3.70E-07
264,1800000,3.23E-07
264,2000000,2.85E-07
264,2200000,2.54E-07
264,2400000,2.27E-07
264,2449917.9,2.21E-07
266,1000000,6.29E-07
266,1200000,5.17E-07
266,1400000,4.37E-07
266,1600000,3.77E-07
266,1800000,3.29E-07
266,2000000,2.91E-07
266,2200000,2.60E-07
266,2400000,2.33E-07
266,2586814.4,2.11E-07
268,1000000,6.39E-07
268,1200000,5.26E-07
268,1400000,4.45E-07
268,1600000,3.84E-07
268,1800000,3.36E-07
268,2000000,2.97E-07
268,2200000,2.65E-07
268,2400000,2.38E-07
268,2600000,2.15E-07
268,2729197,2.02E-07
270,1000000,6.50E-07
270,1200000,5.35E-07
270,1400000,4.53E-07
270,1600000,3.91E-07
270,1800000,3.42E-07
270,2000000,3.03E-07
270,2200000,2.71E-07
270,2400000,2.43E-07
270,2600000,2.20E-07
270,2800000,2.00E-07
270,2877205.8,1.92E-07
272,1000000,6.61E-07
272,1200000,5.44E-07
272,1400000,4.61E-07
272,1600000,3.98E-07
272,1800000,3.48E-07
272,2000000,3.09E-07
272,2200000,2.76E-07
272,2400000,2.49E-07
272,2600000,2.25E-07
272,2800000,2.05E-07
272,3000000,1.86E-07
272,3030984.3,1.84E-07
274,1000000,6.71E-07
274,1200000,5.53E-07
274,1400000,4.68E-07
274,1600000,4.05E-07
274,1800000,3.55E-07
274,2000000,3.15E-07
274,2200000,2.82E-07
274,2400000,2.54E-07
274,2600000,2.30E-07
274,2800000,2.09E-07
274,3000000,1.91E-07
274,3190680.7,1.75E-07
276,1000000,6.82E-07
276,1200000,5.62E-07
276,1400000,4.76E-07
276,1600000,4.12E-07
276,1800000,3.61E-07
276,2000000,3.21E-07
276,2200000,2.87E-07
276,2400000,2.59E-07
276,2600000,2.35E-07
276,2800000,2.14E-07
276,3000000,1.96E-07
276,3200000,1.79E-07
276,3356448,1.68E-07
278,1000000,6.93E-07
278,1200000,5.71E-07
278,1400000,4.84E-07
278,1600000,4.19E-07
278,1800000,3.68E-07
278,2000000,3.27E-07
278,2200000,2.93E-07
278,2400000,2.64E-07
278,2600000,2.40E-07
278,2800000,2.19E-07
278,3000000,2.00E-07
278,3200000,1.84E-07
278,3400000,1.69E-07
278,3528445,1.60E-07
280,1000000,7.04E-07
280,1200000,5.81E-07
280,1400000,4.92E-07
280,1600000,4.26E-07
280,1800000,3.74E-07
280,2000000,3.32E-07
280,2200000,2.98E-07
280,2400000,2.69E-07
280,2600000,2.45E-07
280,2800000,2.24E-07
280,3000000,2.05E-07
280,3200000,1.88E-07
280,3400000,1.74E-07
280,3600000,1.60E-07
280,3706837.3,1.53E-07
282,1000000,7.15E-07
282,1200000,5.90E-07
282,1400000,5.00E-07
282,1600000,4.33E-07
282,1800000,3.80E-07
282,2000000,3.38E-07
282,2200000,3.04E-07
282,2400000,2.75E-07
282,2600000,2.50E-07
282,2800000,2.28E-07
282,3000000,2.10E-07
282,3200000,1.93E-07
282,3400000,1.78E-07
282,3600000,1.64E-07
282,3800000,1.52E-07
282,3891798.4,1.46E-07
284,1000000,7.26E-07
284,1200000,5.99E-07
284,1400000,5.08E-07
284,1600000,4.40E-07
284,1800000,3.87E-07
284,2000000,3.44E-07
284,2200000,3.09E-07
284,2400000,2.80E-07
284,2600000,2.55E-07
284,2800000,2.33E-07
284,3000000,2.14E-07
284,3200000,1.97E-07
284,3400000,1.82E-07
284,3600000,1.69E-07
284,3800000,1.56E-07
284,4000000,1.44E-07
284,4083511.2,1.40E-07
286,1000000,7.37E-07
286,1200000,6.08E-07
286,1400000,5.16E-07
286,1600000,4.47E-07
286,1800000,3.93E-07
286,2000000,3.50E-07
286,2200000,3.15E-07
286,2400000,2.85E-07
286,2600000,2.60E-07
286,2800000,2.38E-07
286,3000000,2.19E-07
286,3200000,2.02E-07
286,3400000,1.86E-07
286,3600000,1.73E-07
286,3800000,1.60E-07
286,4000000,1.49E-07
286,4200000,1.38E-07
286,4282169.6,1.34E-07
288,1000000,7.48E-07
288,1200000,6.18E-07
288,1400000,5.25E-07
288,1600000,4.54E-07
288,1800000,4.00E-07
288,2000000,3.56E-07
288,2200000,3.20E-07
288,2400000,2.90E-07
288,2600000,2.64E-07
288,2800000,2.42E-07
288,3000000,2.23E-07
288,3200000,2.06E-07
288,3400000,1.91E-07
288,3600000,1.77E-07
288,3800000,1.64E-07
288,4000000,1.53E-07
288,4200000,1.42E-07
288,4400000,1.32E-07
288,4487981.3,1.28E-07
290,1000000,7.59E-07
290,1200000,6.27E-07
290,1400000,5.33E-07
290,1600000,4.62E-07
290,1800000,4.06E-07
290,2000000,3.62E-07
290,2200000,3.26E-07
290,2400000,2.95E-07
290,2600000,2.69E-07
290,2800000,2.47E-07
290,3000000,2.27E-07
290,3200000,2.10E-07
290,3400000,1.95E-07
290,3600000,1.81E-07
290,3800000,1.68E-07
290,4000000,1.57E-07
290,4200000,1.46E-07
290,4400000,1.36E-07
290,4600000,1.27E-07
290,4701170.1,1.22E-07
292,1000000,7.70E-07
292,1200000,6.37E-07
292,1400000,5.41E-07
292,1600000,4.69E-07
292,1800000,4.13E-07
292,2000000,3.68E-07
292,2200000,3.31E-07
292,2400000,3.00E-07
292,2600000,2.74E-07
292,2800000,2.51E-07
292,3000000,2.32E-07
292,3200000,2.14E-07
292,3400000,1.99E-07
292,3600000,1.85E-07
292,3800000,1.72E-07
292,4000000,1.61E-07
292,4200000,1.50E-07
292,4400000,1.40E-07
292,4600000,1.31E-07
292,4800000,1.22E-07
292,4921980.7,1.16E-07
294,1000000,7.82E-07
294,1200000,6.46E-07
294,1400000,5.49E-07
294,1600000,4.76E-07
294,1800000,4.19E-07
294,2000000,3.74E-07
294,2200000,3.37E-07
294,2400000,3.05E-07
294,2600000,2.79E-07
294,2800000,2.56E-07
294,3000000,2.36E-07
294,3200000,2.19E-07
294,3400000,2.03E-07
294,3600000,1.89E-07
294,3800000,1.76E-07
294,4000000,1.65E-07
294,4200000,1.54E-07
294,4400000,1.44E-07
294,4600000,1.35E-07
294,4800000,1.26E-07
294,5000000,1.17E-07
294,5150683.5,1.11E-07
296,1000000,7.93E-07
296,1200000,6.56E-07
296,1400000,5.57E-07
296,1600000,4.83E-07
296,1800000,4.26E-07
296,2000000,3.80E-07
296,2200000,3.42E-07
296,2400000,3.11E-07
296,2600000,2.84E-07
296,2800000,2.61E-07
296,3000000,2.40E-07
296,3200000,2.23E-07
296,3400000,2.07E-07
296,3600000,1.93E-07
296,3800000,1.80E-07
296,4000000,1.69E-07
296,4200000,1.58E-07
296,4400000,1.48E-07
296,4600000,1.39E-07
296,4800000,1.30E-07
296,5000000,1.22E-07
296,5200000,1.14E-07
296,5387582.5,1.06E-07
298,1000000,8.04E-07
298,1200000,6.65E-07
298,1400000,5.66E-07
298,1600000,4.91E-07
298,1800000,4.33E-07
298,2000000,3.86E-07
298,2200000,3.48E-07
298,2400000,3.16E-07
298,2600000,2.89E-07
298,2800000,2.65E-07
298,3000000,2.45E-07
298,3200000,2.27E-07
298,3400000,2.11E-07
298,3600000,1.97E-07
298,3800000,1.84E-07
298,4000000,1.72E-07
298,4200000,1.62E-07
298,4400000,1.52E-07
298,4600000,1.43E-07
298,4800000,1.34E-07
298,5000000,1.26E-07
298,5200000,1.18E-07
298,5400000,1.10E-07
298,5600000,1.02E-07
298,5633026.8,1.01E-07
300,1000000,8.16E-07
300,1200000,6.75E-07
300,1400000,5.74E-07
300,1600000,4.98E-07
300,1800000,4.39E-07
300,2000000,3.92E-07
300,2200000,3.53E-07
300,2400000,3.21E-07
300,2600000,2.93E-07
300,2800000,2.70E-07
300,3000000,2.49E-07
300,3200000,2.31E-07
300,3400000,2.15E-07
300,3600000,2.01E-07
300,3800000,1.88E-07
300,4000000,1.76E-07
300,4200000,1.65E-07
300,4400000,1.55E-07
300,4600000,1.46E-07
300,4800000,1.38E-07
300,5000000,1.29E-07
300,5200000,1.22E-07
300,5400000,1.14E-07
300,5600000,1.07E-07
300,5800000,9.94E-08
300,5887428.2,9.59E-08
302,1000000,8.27E-07
302,1200000,6.84E-07
302,1400000,5.82E-07
302,1600000,5.06E-07
302,1800000,4.46E-07
302,2000000,3.98E-07
302,2200000,3.59E-07
302,2400000,3.26E-07
302,2600000,2.98E-07
302,2800000,2.74E-07
302,3000000,2.53E-07
302,3200000,2.35E-07
302,3400000,2.19E-07
302,3600000,2.05E-07
302,3800000,1.92E-07
302,4000000,1.80E-07
302,4200000,1.69E-07
302,4400000,1.59E-07
302,4600000,1.50E-07
302,4800000,1.41E-07
302,5000000,1.33E-07
302,5200000,1.25E-07
302,5400000,1.18E-07
302,5600000,1.11E-07
302,5800000,1.04E-07
302,6000000,9.69E-08
302,6151290.5,9.10E-08
304,1000000,8.39E-07
304,1200000,6.94E-07
304,1400000,5.91E-07
304,1600000,5.13E-07
304,1800000,4.52E-07
304,2000000,4.04E-07
304,2200000,3.64E-07
304,2400000,3.31E-07
304,2600000,3.03E-07
304,2800000,2.79E-07
304,3000000,2.58E-07
304,3200000,2.39E-07
304,3400000,2.23E-07
304,3600000,2.08E-07
304,4000000,1.82E-07
304,3800000,1.97E-07
304,4000000,1.85E-07
304,4200000,1.74E-07
304,4400000,1.64E-07
304,4600000,1.55E-07
304,4800000,1.46E-07
304,5000000,1.38E-07
304,5200000,1.31E-07
304,5400000,1.24E-07
304,5600000,1.17E-07
304,5800000,1.11E-07
304,6000000,1.05E-07
304,6200000,9.90E-08
304,6400000,8.72E-08
304,6425264.9,8.60E-08